GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
3848	3.99E-11	2.55E-15	0.856	-7.9110259	-6.768075	551.94	KRT1	keratin 1
4922	1.07E-10	1.37E-14	1.532	7.6986724	11.79312	5086	NTS	neurotensin
128488	0.0000000566	1.09E-11	0.973	-6.7945231	-6.611058	226.61	WFDC12	WAP four-disulfide core domain 12
6236	0.000000237	6.07E-11	0.883	-6.5420306	-5.774545	332.61	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator
1828	0.000000738	2.36E-10	0.858	-6.3356579	-5.436968	3350.69	DSG1	desmoglein 1
80157	0.00000102	3.9E-10	0.979	-6.2578074	-6.127515	226.22	CWH43	cell wall biogenesis 43 C-terminal homolog
563	0.00000526	0.00000000236	1.312	-5.9711584	-7.83335	120.12	AZGP1	alpha-2-glycoprotein 1, zinc-binding
2568	0.00000775	0.00000000397	1.147	5.8854453	6.748184	619.74	GABRP	gamma-aminobutyric acid type A receptor subunit pi
374897	0.0000145	0.00000000834	0.762	-5.7615082	-4.39051	2509.16	SBSN	suprabasin
25818	0.000057	0.0000000365	0.881	-5.5070138	-4.853033	409.88	KLK5	kallikrein related peptidase 5
6278	0.00012	0.0000000925	0.794	-5.3407956	-4.241823	1766.39	S100A7	S100 calcium binding protein A7
341208	0.00012	0.0000000908	0.784	-5.3441716	-4.191115	928.18	HEPHL1	hephaestin like 1
89795	0.000124	0.000000107	0.897	-5.3136797	-4.763867	237.32	NAV3	neuron navigator 3
3868	0.000124	0.000000111	0.787	-5.308193	-4.178553	21291.92	KRT16	keratin 16
383	0.000202	0.000000194	1.461	-5.2052571	-7.606502	77.64	ARG1	arginase 1
10512	0.000203	0.000000208	0.846	-5.1920475	-4.394585	1313.44	SEMA3C	semaphorin 3C
10439	0.000304	0.000000331	1.072	5.1049416	5.472489	192.89	OLFM1	olfactomedin 1
3034	0.000304	0.00000035	1.11	-5.0941834	-5.655144	119.64	HAL	histidine ammonia-lyase
6328	0.000313	0.00000044	1.179	-5.0506244	-5.954976	86.22	SCN3A	sodium voltage-gated channel alpha subunit 3
2167	0.000313	0.00000042	1.129	-5.0596625	-5.713472	1495.05	FABP4	fatty acid binding protein 4
4319	0.000313	0.000000439	0.865	-5.0511202	-4.368261	321.26	MMP10	matrix metallopeptidase 10
105371553	0.000313	0.000000411	1.207	-5.0637979	-6.112285	142.39	LOC105371553	
7378	0.000326	0.00000048	0.807	-5.0343349	-4.064999	588.5	UPP1	uridine phosphorylase 1
169044	0.000335	0.000000515	0.95	-5.020511	-4.771425	169.23	COL22A1	collagen type XXII alpha 1 chain
119548	0.000351	0.000000562	0.974	-5.0037313	-4.8751	198.22	PNLIPRP3	pancreatic lipase related protein 3
51806	0.000431	0.000000745	0.826	-4.9492313	-4.090337	429.21	CALML5	calmodulin like 5
283748	0.000431	0.000000739	1.14	-4.9508295	-5.641765	101.12	PLA2G4D	phospholipase A2 group IVD
123745	0.000619	0.00000111	0.864	-4.8710483	-4.207092	289.9	PLA2G4E	phospholipase A2 group IVE
574414	0.000804	0.00000149	1.346	-4.8121542	-6.478097	78.1	PRR9	proline rich 9
100505817	0.000895	0.00000172	1.794	-4.7840126	-8.581227	57.89	LINC02582	long intergenic non-protein coding RNA 2582
5054	0.000955	0.00000194	0.781	-4.759068	-3.718558	1349.77	SERPINE1	serpin family E member 1
144568	0.000955	0.00000196	0.799	-4.7575386	-3.801138	2014.79	A2ML1	alpha-2-macroglobulin like 1
89894	0.000955	0.00000202	1.224	4.7516174	5.81835	448.12	TMEM116	transmembrane protein 116
388698	0.00104	0.00000226	1.219	-4.7282963	-5.761896	650.27	FLG2	filaggrin 2
50512	0.00122	0.00000273	1.288	4.6899478	6.040276	142.89	PODXL2	podocalyxin like 2
105372630	0.00132	0.00000304	1.801	-4.6678703	-8.408669	56.4	LOC105372630	uncharacterized LOC105372630
149708	0.0014	0.00000332	0.986	-4.6501596	-4.58311	137.76	WFDC5	WAP four-disulfide core domain 5
151516	0.00187	0.00000456	0.918	-4.5842358	-4.209336	423.5	ASPRV1	aspartic peptidase retroviral like 1
643161	0.00204	0.00000509	1.14	-4.561239	-5.200549	315.24	FAM25A	family with sequence similarity 25 member A
91156	0.00205	0.00000525	1.383	-4.5544612	-6.298912	68.79	IGFN1	immunoglobulin like and fibronectin type III domain containing 1
3856	0.00208	0.00000545	0.902	4.5465365	4.100437	1061.98	KRT8	keratin 8
6326	0.00258	0.00000693	1.332	-4.4958091	-5.989706	61.21	SCN2A	sodium voltage-gated channel alpha subunit 2
286887	0.0027	0.00000742	0.834	-4.4811474	-3.736499	11574.17	KRT6C	keratin 6C
284110	0.00271	0.00000763	1.078	-4.4753908	-4.822389	118.6	GSDMA	gasdermin A
85352	0.0036	0.0000104	1.064	-4.4093274	-4.690905	100.83	SHISAL1	shisa like 1
5288	0.00378	0.0000111	1.317	-4.3938309	-5.785607	86.13	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
643414	0.0049	0.0000147	1.325	-4.3327138	-5.741869	56.49	LIPK	lipase family member K
4915	0.00511	0.000016	0.874	4.3138741	3.772125	3094.52	NTRK2	neurotrophic receptor tyrosine kinase 2
222	0.00511	0.0000159	0.86	-4.3153562	-3.711664	363.12	ALDH3B2	aldehyde dehydrogenase 3 family member B2
10998	0.00513	0.0000164	1.542	4.3087757	6.643303	287.47	SLC27A5	solute carrier family 27 member 5
101928388	0.00608	0.0000198	1.293	-4.2666737	-5.5174	58.79	PLA2G4E-AS1	PLA2G4E antisense RNA 1
3169	0.00644	0.0000214	1.283	4.2492644	5.45219	126.48	FOXA1	forkhead box A1
8821	0.00671	0.0000228	0.834	-4.2357472	-3.532232	425.05	INPP4B	inositol polyphosphate-4-phosphatase type II B
23768	0.00735	0.0000254	0.904	-4.2110972	-3.806741	669.75	FLRT2	fibronectin leucine rich transmembrane protein 2
219954	0.00747	0.0000263	2.139	-4.2032273	-8.991114	30.1	OR9I1	olfactory receptor family 9 subfamily I member 1
105371453	0.00763	0.0000273	1.007	4.1945406	4.223304	192.06	BCAN-AS1	BCAN antisense RNA 1
55117	0.00777	0.0000284	1.028	-4.1862464	-4.302708	169.24	SLC6A15	solute carrier family 6 member 15
432355	0.00825	0.0000306	1.158	-4.1686409	-4.828554	117.69	SLURP2	secreted LY6/PLAUR domain containing 2
55061	0.00839	0.0000317	0.901	4.1609064	3.749978	259.9	SUSD4	sushi domain containing 4
343578	0.00872	0.0000335	1.554	-4.1482212	-6.446735	46	ARHGAP40	Rho GTPase activating protein 40
338324	0.00879	0.0000343	1.058	-4.1427316	-4.382874	102.72	S100A7A	S100 calcium binding protein A7A
1823	0.00888	0.0000352	1.203	-4.1367404	-4.977468	623.55	DSC1	desmocollin 1
65268	0.00918	0.000037	0.847	4.1252212	3.494248	421.82	WNK2	WNK lysine deficient protein kinase 2
6376	0.0092	0.0000377	1.109	4.1211348	4.568667	174.1	CX3CL1	C-X3-C motif chemokine ligand 1
6699	0.00978	0.0000407	0.758	-4.1035665	-3.109322	4318.03	SPRR1B	small proline rich protein 1B
101927718	0.0108	0.0000464	1.008	-4.0730499	-4.10714	236.43	DSG1-AS1	DSG1 antisense RNA 1
84518	0.0108	0.0000462	0.813	-4.0738175	-3.312084	884.16	CNFN	cornifelin
4312	0.0114	0.0000498	0.804	-4.0564441	-3.26231	605.13	MMP1	matrix metallopeptidase 1
2017	0.0127	0.000056	0.753	-4.0292404	-3.03234	4628.44	CTTN	cortactin
3217	0.0136	0.0000611	1.352	4.0085519	5.420057	92.83	HOXB7	homeobox B7
1690	0.0141	0.0000648	1.245	3.9944917	4.973837	113.98	COCH	cochlin
3880	0.0141	0.0000641	0.758	3.9971501	3.031475	6055.29	KRT19	keratin 19
1308	0.0141	0.0000661	0.936	-3.9899237	-3.734765	4894.33	COL17A1	collagen type XVII alpha 1 chain
4493	0.0141	0.0000666	1.099	-3.987985	-4.382618	85.17	MT1E	metallothionein 1E
5357	0.0149	0.0000744	1.006	3.9616901	3.986884	152.37	PLS1	plastin 1
201651	0.0149	0.0000743	1.468	3.9621579	5.815295	81.36	AADACP1	arylacetamide deacetylase pseudogene 1
216	0.0149	0.0000734	1.353	3.9648956	5.363899	776.02	ALDH1A1	aldehyde dehydrogenase 1 family member A1
247	0.0149	0.0000743	1.554	-3.9619185	-6.157213	45.09	ALOX15B	arachidonate 15-lipoxygenase type B
101929397	0.0159	0.0000802	2.218	-3.943813	-8.748541	25.44	LINC01518	long intergenic non-protein coding RNA 1518
79679	0.018	0.0000921	1.553	3.9104204	6.072822	97.63	VTCN1	V-set domain containing T cell activation inhibitor 1
5744	0.02	0.000104	0.787	-3.8815254	-3.05534	1405.72	PTHLH	parathyroid hormone like hormone
101927988	0.0202	0.000106	1.239	-3.8760655	-4.802303	60.94	LINC01527	long intergenic non-protein coding RNA 1527
219956	0.0219	0.000116	2.248	-3.8541797	-8.664882	24	OR9Q1	olfactory receptor family 9 subfamily Q member 1
100169956	0.0225	0.000121	1.826	3.8439623	7.018214	186.09	SNAR-A4	small NF90 (ILF3) associated RNA A4
100169952	0.0226	0.000123	1.826	3.8405615	7.011854	185.27	SNAR-A5	small NF90 (ILF3) associated RNA A5
255189	0.023	0.000127	0.993	-3.832582	-3.805781	141.83	PLA2G4F	phospholipase A2 group IVF
103695433	0.0233	0.00013	1.297	-3.8273764	-4.963871	52.59	LINC01322	long intergenic non-protein coding RNA 1322
29984	0.0236	0.000135	0.829	-3.8180192	-3.166225	424.7	RHOD	ras homolog family member D
100191063	0.0236	0.000134	2.092	3.8195097	7.990972	182.25	SNAR-A14	small NF90 (ILF3) associated RNA A14
100169958	0.0238	0.000137	2.092	3.8134009	7.977981	180.62	SNAR-A8	small NF90 (ILF3) associated RNA A8
22802	0.0251	0.000146	1.105	3.7969359	4.194056	323.97	CLCA4	chloride channel accessory 4
353145	0.026	0.000156	1.233	-3.781181	-4.662999	138.68	LCE3E	late cornified envelope 3E
389208	0.026	0.000156	0.888	-3.7810426	-3.358531	254.49	TMPRSS11F	transmembrane serine protease 11F
59344	0.026	0.000153	1.08	-3.7862324	-4.089202	113.37	ALOXE3	arachidonate lipoxygenase 3
3624	0.0263	0.000165	0.769	-3.7668094	-2.894949	1433.41	INHBA	inhibin subunit beta A
111188157	0.0263	0.00016	1.188	-3.7747815	-4.484908	117.02	LYNX1-SLURP2	LYNX1-SLURP2 readthrough
10655	0.0263	0.000168	1.324	3.7622273	4.981049	92.33	DMRT2	doublesex and mab-3 related transcription factor 2
5727	0.0263	0.000163	0.955	3.770838	3.600079	234.86	PTCH1	patched 1
387695	0.0263	0.000166	0.877	-3.7658168	-3.303474	264.32	GPR15LG	G protein-coupled receptor 15 ligand
100169957	0.0263	0.000168	2.12	3.7621008	7.973797	180.11	SNAR-A6	small NF90 (ILF3) associated RNA A6
109136579	0.0282	0.000183	0.746	-3.7419885	-2.790772	67558.1	TALAM1	TALAM1 transcript, MALAT1 antisense RNA
643401	0.0288	0.000188	2.29	-3.7343768	-8.552988	22.21	PURPL	p53 upregulated regulator of p53 levels
378938	0.0294	0.000194	0.746	-3.7271444	-2.780287	75408.87	MALAT1	metastasis associated lung adenocarcinoma transcript 1
105370964	0.0305	0.000203	1.148	-3.7150237	-4.2631	87.13	LOC105370964	uncharacterized LOC105370964
6523	0.0305	0.000207	1.004	-3.7103058	-3.72646	119.47	SLC5A1	solute carrier family 5 member 1
84707	0.0305	0.000207	1.232	3.7102627	4.569391	103.84	BEX2	brain expressed X-linked 2
9615	0.0306	0.00021	1.153	3.7070261	4.273644	198.5	GDA	guanine deaminase
4582	0.0309	0.000216	1.299	3.7000553	4.80799	102.58	MUC1	mucin 1, cell surface associated
26525	0.0309	0.000219	0.919	-3.6954808	-3.397556	266.44	IL36RN	interleukin 36 receptor antagonist
654433	0.0309	0.000214	1.097	3.7022851	4.063077	111.14	PAX8-AS1	PAX8 antisense RNA 1
285973	0.0309	0.000219	0.946	-3.6965341	-3.496355	232.4	ATG9B	autophagy related 9B
1041	0.0323	0.000233	1.19	-3.6805611	-4.381384	736.03	CDSN	corneodesmosin
10272	0.0323	0.000233	1.032	-3.6797441	-3.796346	106.84	FSTL3	follistatin like 3
3875	0.0324	0.000237	0.887	3.6763406	3.260256	483.54	KRT18	keratin 18
6538	0.0324	0.000239	1.127	-3.6740758	-4.141662	152.68	SLC6A11	solute carrier family 6 member 11
7092	0.0334	0.000248	1.075	-3.6644884	-3.940334	108.45	TLL1	tolloid like 1
100996490	0.0363	0.000272	1.4	3.6406431	5.097647	248.44	LINC01206	long intergenic non-protein coding RNA 1206
100288077	0.0363	0.000274	0.943	-3.6383438	-3.432746	155.34	WTAPP1	Wilms tumor 1 associated protein pseudogene 1
84072	0.037	0.000281	1.46	-3.6317617	-5.300559	41.18	HORMAD1	HORMA domain containing 1
3488	0.037	0.000284	0.861	3.629611	3.123293	2185.89	IGFBP5	insulin like growth factor binding protein 5
6706	0.0373	0.000289	1.186	-3.624936	-4.299536	547.21	SPRR2G	small proline rich protein 2G
51316	0.0377	0.000299	1.644	3.6159829	5.943908	222.75	PLAC8	placenta associated 8
100126798	0.0377	0.000299	1.858	3.6157823	6.716589	151.06	SNAR-A1	small NF90 (ILF3) associated RNA A1
254240	0.0377	0.000297	1.631	-3.6175574	-5.901007	37.57	BPIFC	BPI fold containing family C
8644	0.0388	0.00031	1.26	3.6065845	4.545975	2119.48	AKR1C3	aldo-keto reductase family 1 member C3
105370721	0.04	0.000323	1.51	-3.5960903	-5.428397	47.34	LOC105370721	
339512	0.0411	0.000334	1.676	3.5873407	6.013457	186.19	CCDC190	coiled-coil domain containing 190
192666	0.0415	0.00034	1.443	3.5825753	5.169013	78.04	KRT24	keratin 24
