 Gene_name,PValue,logFC,,,,
1553279_at,0.00000459,-0.30550019,,,,
206733_at,0.00001742,-0.30197319,,,,
239588_s_at,0.00002036,-0.24421618,,,,
1564713_a_at,0.00002442,-0.29845435,,,,
240382_at,0.00003647,1.16661849,,,,
209880_s_at,0.00004501,-0.31737049,,,,
1559926_at,0.00006857,-0.26797318,,,,
241723_at,0.00007069,-0.21977423,,,,
240356_s_at,0.00007766,0.1977519,,,,
230201_at,0.00007929,0.79150052,,,,
220514_at,0.00008525,-0.2141558,,,,
1570007_at,0.00008772,-0.29307669,,,,
1566124_a_at,0.000092,-0.24544647,,,,
1560596_at,0.00009631,-0.23024063,,,,
204804_at,0.00011069,-0.60881856,,,,
212240_s_at,0.00012011,1.03752449,,,,
1556369_a_at,0.00012395,-0.21869297,,,,
1555385_at,0.00012677,-0.32614471,,,,
236965_at,0.00012681,-0.25248148,,,,
1560017_at,0.00013128,0.79742367,,,,
213829_x_at,0.0001375,-0.29942844,,,,
220965_s_at,0.00014061,-0.30675254,,,,
200998_s_at,0.00014663,0.73603856,,,,
1553657_at,0.00015198,-0.28524946,,,,
217473_x_at,0.00015302,-0.26255066,,,,
237739_at,0.0001533,-0.26276889,,,,
211532_x_at,0.00015368,-0.21134647,,,,
1554349_at,0.00015463,-0.27554316,,,,
233476_at,0.00016006,-0.35022242,,,,
221114_at,0.00016464,-0.26314696,,,,
1556846_at,0.00016949,-0.36422505,,,,
1554039_at,0.00017283,-0.31375496,,,,
224283_x_at,0.00017939,-0.32168129,,,,
1553224_at,0.00018082,-0.18733318,,,,
38707_r_at,0.00018545,-0.25692793,,,,
211364_at,0.00019879,-0.26547656,,,,
239396_at,0.00019885,-0.30333502,,,,
238329_at,0.00021097,-0.25037831,,,,
38447_at,0.00021469,-0.27574757,,,,
1556920_s_at,0.00022309,-0.25053557,,,,
204512_at,0.00022385,0.41324868,,,,
240742_at,0.00023297,-0.25730838,,,,
203465_at,0.00024963,0.48788491,,,,
1561044_at,0.00025319,-0.31612,,,,
216631_s_at,0.00026677,-0.22623826,,,,
239122_at,0.00028086,-0.30491591,,,,
222082_at,0.00028253,-0.31399657,,,,
219459_at,0.00028261,0.4604641,,,,
1565611_at,0.0002829,-0.21475368,,,,
221347_at,0.00030378,-0.23167659,,,,
203111_s_at,0.00031255,-0.28067976,,,,
1563287_at,0.00032472,-0.19704682,,,,
210083_at,0.00032726,-0.26850555,,,,
213958_at,0.00033086,-0.32403766,,,,
211252_x_at,0.00033361,-0.20114092,,,,
216748_at,0.00033428,-0.28200711,,,,
235943_at,0.00035704,-0.24778546,,,,
221906_at,0.00036231,0.51829566,,,,
1559655_at,0.0003684,-0.18299356,,,,
217614_at,0.00037349,-0.27531441,,,,
1564471_at,0.00038022,-0.2187869,,,,
52285_f_at,0.00038183,0.58673826,,,,
223071_at,0.00038962,0.39580002,,,,
1563916_at,0.00039107,-0.20346466,,,,
204691_x_at,0.00040182,-0.26296536,,,,
234500_at,0.00040959,-0.1798349,,,,
59631_at,0.00042371,0.50553521,,,,
1553844_a_at,0.00043121,-0.25216113,,,,
1564438_at,0.00043432,-0.20546527,,,,
210062_s_at,0.00044538,-0.50185699,,,,
211384_s_at,0.00046096,-0.23074234,,,,
229495_at,0.00046777,-0.28453342,,,,
231454_at,0.00047229,-0.21304613,,,,
211701_s_at,0.00048078,0.75929985,,,,
1556510_at,0.00049605,-0.21950551,,,,
214137_at,0.00050227,-0.29331543,,,,
221297_at,0.00051682,-0.30290809,,,,
207167_at,0.00052198,-0.30531202,,,,
240540_at,0.00052391,-0.23998175,,,,
213757_at,0.00053601,0.44777046,,,,
213897_s_at,0.00055636,-0.49200774,,,,
233850_s_at,0.00056203,0.43298218,,,,
218289_s_at,0.00056788,0.44060853,,,,
220806_x_at,0.00057328,-0.24157166,,,,
1569522_at,0.00058083,-0.33571102,,,,
216981_x_at,0.00059206,-0.29625126,,,,
216217_at,0.00059465,-0.24514563,,,,
1566082_at,0.00059907,-0.17968315,,,,
210744_s_at,0.00062575,-0.23242432,,,,
242308_at,0.00062691,-0.28440245,,,,
234671_at,0.00063752,-0.19936059,,,,
243552_at,0.00064369,0.58136814,,,,
222301_at,0.00064525,-0.29169893,,,,
215658_at,0.0006488,-0.28829555,,,,
1562563_at,0.00064926,-0.25847797,,,,
208376_at,0.00067232,-0.24228707,,,,
222489_s_at,0.00068929,0.4215019,,,,
239657_x_at,0.00071897,0.99209535,,,,
234217_at,0.00073678,-0.1537903,,,,
203540_at,0.00073777,-0.23360258,,,,
217061_s_at,0.00073925,-0.44280429,,,,
233569_at,0.00075545,-0.18851299,,,,
239361_at,0.00075685,-0.21800393,,,,
1557877_s_at,0.00078251,-0.16293796,,,,
220320_at,0.00079926,-0.25800657,,,,
206684_s_at,0.0008006,-0.19384123,,,,
227573_s_at,0.00080232,0.4094509,,,,
208203_x_at,0.00080388,-0.25312812,,,,
204306_s_at,0.00083146,-0.61571676,,,,
201234_at,0.00083724,-0.46179307,,,,
211845_at,0.00083975,-0.19575454,,,,
1565576_at,0.00085782,-0.18637883,,,,
220869_at,0.00086713,-0.16598648,,,,
206780_at,0.00087489,-0.27100999,,,,
224499_s_at,0.00088767,-0.2353561,,,,
203803_at,0.0008914,0.63338979,,,,
242542_at,0.00090754,-0.28398506,,,,
1564431_a_at,0.00092087,-0.21560446,,,,
211791_s_at,0.00092245,-0.29481968,,,,
1554344_s_at,0.00092959,-0.22678953,,,,
240023_at,0.00093094,-0.30573852,,,,
222578_s_at,0.00093446,0.34373138,,,,
205662_at,0.00093539,0.42066662,,,,
1561067_at,0.00093571,-0.15051213,,,,
241785_at,0.00093889,-0.23390409,,,,
226600_at,0.00094233,0.67556103,,,,
1557615_a_at,0.00094833,-0.17666488,,,,
214972_at,0.00094978,-0.28486047,,,,
1559272_at,0.00095263,-0.21988794,,,,
226651_at,0.00095496,0.75069489,,,,
233103_at,0.00096176,-0.23339082,,,,
206975_at,0.00096989,-0.23163501,,,,
218583_s_at,0.00097604,0.41411242,,,,
203463_s_at,0.00100146,0.48397394,,,,
220968_s_at,0.00101605,0.39714965,,,,
240431_at,0.00102795,-0.17125271,,,,
229330_at,0.0010392,-0.19172184,,,,
214504_at,0.00104371,-0.26488313,,,,
220819_at,0.00105039,-0.28573208,,,,
217642_at,0.00105884,-0.26445651,,,,
212431_at,0.00106035,-0.25690757,,,,
211014_s_at,0.00106543,-0.29797855,,,,
230189_x_at,0.00109007,-0.20442828,,,,
219968_at,0.00109818,-0.40865771,,,,
226422_at,0.00111635,0.38071965,,,,
1554115_at,0.00114079,-0.28343439,,,,
1567166_at,0.00114614,-0.24367414,,,,
