 ID,adj.P.Val,P.Value,t,B,logFC,miRNA_ID,miRNA_ID_LIST
MIMAT0027570,0.51,0.00182,3.23128,-2.13,0.91617,MIMAT0027570,hsa-miR-6835-5p
MIMAT0004561,0.51,0.00201,3.19945,-2.18,0.76945,MIMAT0004561,hsa-miR-187-5p
MIMAT0003336,0.51,0.003,3.06621,-2.4,0.81994,MIMAT0003336,hsa-miR-658
MIMAT0005867,0.51,0.00448,2.92985,-2.61,0.67482,MIMAT0005867,hsa-miR-663b
MIMAT0031119,0.51,0.00537,2.86655,-2.71,0.7687,MIMAT0031119,hsa-miR-1199-5p
MIMAT0031095,0.51,0.00584,2.83654,-2.75,0.6574,MIMAT0031095,hsa-miR-128-2-5p
MIMAT0027583,0.51,0.0059,2.83333,-2.76,0.66006,MIMAT0027583,hsa-miR-6840-3p
MIMAT0027670,0.51,0.00649,2.79938,-2.81,0.61646,MIMAT0027670,hsa-miR-6885-5p
MIMAT0019219,0.526,0.00856,2.69957,-2.96,0.84823,MIMAT0019219,hsa-miR-3619-3p
MIMAT0027552,0.526,0.0086,2.69751,-2.96,0.68125,MIMAT0027552,hsa-miR-6826-5p
MIMAT0019711,0.526,0.00952,2.66035,-3.02,0.62441,MIMAT0019711,hsa-miR-4649-5p
MIMAT0004804,0.526,0.0109,2.61,-3.09,0.69481,MIMAT0004804,hsa-miR-615-5p
MIMAT0019071,0.526,0.01159,2.58704,-3.12,0.57012,MIMAT0019071,hsa-miR-4532
MIMAT0002847,0.526,0.01947,2.38708,-3.39,0.66433,MIMAT0002847,hsa-miR-518c-5p
MIMAT0030990,0.526,0.01952,2.3862,-3.4,0.59816,MIMAT0030990,hsa-miR-8063
MIMAT0019883,0.526,0.01995,2.37755,-3.41,0.58762,MIMAT0019883,hsa-miR-4747-3p
MIMAT0019756,0.526,0.02015,2.37345,-3.41,0.51096,MIMAT0019756,hsa-miR-4674
MIMAT0018068,0.526,0.02319,2.3173,-3.49,0.53292,MIMAT0018068,hsa-miR-3648
MIMAT0018444,0.526,0.0238,2.30671,-3.5,0.58547,MIMAT0018444,hsa-miR-642b-3p
MIMAT0018065,0.526,0.02461,2.2931,-3.52,0.58107,MIMAT0018065,hsa-miR-3646
MIMAT0004911,0.526,0.02486,2.289,-3.52,0.54279,MIMAT0004911,hsa-miR-874-3p
MIMAT0019211,0.526,0.02629,2.26611,-3.55,0.62841,MIMAT0019211,hsa-miR-3158-5p
MIMAT0022943,0.526,0.02826,2.23638,-3.59,0.56819,MIMAT0022943,hsa-miR-1233-5p
MIMAT0022698,0.526,0.02929,2.22157,-3.61,0.59905,MIMAT0022698,hsa-miR-345-3p
MIMAT0026622,0.526,0.03068,2.20237,-3.63,0.73162,MIMAT0026622,hsa-miR-619-5p
MIMAT0016879,0.526,0.0317,2.18861,-3.65,0.42761,MIMAT0016879,hsa-miR-4258
MIMAT0022742,0.526,0.03176,2.18785,-3.65,0.59691,MIMAT0022742,hsa-miR-1273g-3p
MIMAT0002807,0.526,0.03687,2.12462,-3.73,0.63339,MIMAT0002807,hsa-miR-491-5p
MIMAT0003337,0.526,0.03764,2.11582,-3.74,0.5828,MIMAT0003337,hsa-miR-659-3p
MIMAT0004687,0.526,0.03768,2.11538,-3.74,0.60802,MIMAT0004687,hsa-miR-371a-5p
MIMAT0019053,0.526,0.03784,2.11352,-3.74,0.46223,MIMAT0019053,hsa-miR-4516
MIMAT0026474,0.526,0.03886,2.10208,-3.76,0.53578,MIMAT0026474,hsa-miR-208a-5p
MIMAT0019858,0.526,0.03912,2.09926,-3.76,0.58369,MIMAT0019858,hsa-miR-4733-3p
MIMAT0003887,0.526,0.04139,2.07489,-3.79,0.62211,MIMAT0003887,hsa-miR-769-3p
MIMAT0021127,0.526,0.04424,2.04578,-3.82,0.58546,MIMAT0021127,hsa-miR-5195-3p
MIMAT0004762,0.526,0.0443,2.04519,-3.82,0.47097,MIMAT0004762,hsa-miR-486-3p
MIMAT0004952,0.526,0.04446,2.04359,-3.82,0.52713,MIMAT0004952,hsa-miR-665
MIMAT0022694,0.526,0.04632,2.02565,-3.85,0.45113,MIMAT0022694,hsa-miR-211-3p
MIMAT0019862,0.526,0.04729,2.01645,-3.86,0.50177,MIMAT0019862,hsa-miR-4736
MIMAT0019757,0.526,0.05035,1.98857,-3.89,0.4959,MIMAT0019757,hsa-miR-4675
MIMAT0019922,0.526,0.05149,1.97864,-3.9,0.64719,MIMAT0019922,hsa-miR-4769-5p
