 ID,P.Value,logFC
MIMAT0027570,0.00182,0.91617
MIMAT0004561,0.00201,0.76945
MIMAT0003336,0.003,0.81994
MIMAT0005867,0.00448,0.67482
MIMAT0031119,0.00537,0.7687
MIMAT0031095,0.00584,0.6574
MIMAT0027583,0.0059,0.66006
MIMAT0027670,0.00649,0.61646
MIMAT0019219,0.00856,0.84823
MIMAT0027552,0.0086,0.68125
MIMAT0019711,0.00952,0.62441
MIMAT0004804,0.0109,0.69481
MIMAT0019071,0.01159,0.57012
MIMAT0002847,0.01947,0.66433
MIMAT0030990,0.01952,0.59816
MIMAT0019883,0.01995,0.58762
MIMAT0019756,0.02015,0.51096
MIMAT0018068,0.02319,0.53292
MIMAT0018444,0.0238,0.58547
MIMAT0018065,0.02461,0.58107
MIMAT0004911,0.02486,0.54279
MIMAT0019211,0.02629,0.62841
MIMAT0022943,0.02826,0.56819
MIMAT0022698,0.02929,0.59905
MIMAT0026622,0.03068,0.73162
MIMAT0016879,0.0317,0.42761
MIMAT0022742,0.03176,0.59691
MIMAT0002807,0.03687,0.63339
MIMAT0003337,0.03764,0.5828
MIMAT0004687,0.03768,0.60802
MIMAT0019053,0.03784,0.46223
MIMAT0026474,0.03886,0.53578
MIMAT0019858,0.03912,0.58369
MIMAT0003887,0.04139,0.62211
MIMAT0021127,0.04424,0.58546
MIMAT0004762,0.0443,0.47097
MIMAT0004952,0.04446,0.52713
MIMAT0022694,0.04632,0.45113
MIMAT0019862,0.04729,0.50177
MIMAT0019757,0.05035,0.4959
MIMAT0019922,0.05149,0.64719
MIMAT0012735,0.05265,0.44244
MIMAT0019852,0.05313,0.49163
MIMAT0003307,0.05347,0.56905
MIMAT0016901,0.05391,0.55712
MIMAT0027377,0.05481,0.52485
MIMAT0023694,0.05573,0.49461
MIMAT0018085,0.05778,0.38782
MIMAT0018079,0.05981,0.53264
MIMAT0004284,0.06069,0.51071
MIMAT0019771,0.06098,0.54206
MIMAT0028109,0.06146,0.52407
MIMAT0027353,0.06178,0.48619
MIMAT0027630,0.06197,0.50867
MIMAT0015079,0.06277,0.44814
MIMAT0027597,0.06458,0.4876
MIMAT0018960,0.06509,0.46349
MIMAT0018965,0.06531,0.42717
MIMAT0027512,0.06565,0.43778
